id,name,alias
303,NEW YORK MEDICAL CAREER TRAINING CENTER,
304,ONONDAGA SCHOOL OF THERAPEUTIC MASSAGE-SYRACUSE,
305,FOUR COUNTY CAREER CENTER,
306,PENNSYLVANIA STATE UNIVERSITY-DICKINSON LAW,
307,DOUGLAS EDUCATION CENTER,
308,ELIZABETHTOWN COLLEGE,
309,SOUTHSIDE VIRGINIA COMMUNITY COLLEGE,
310,STONY BROOK UNIVERSITY,SUNY STONY BROOK STATE UNIVERSITY OF NEW YORK AT STONY BROOK
311,STATE UNIVERSITY OF NEW YORK AT NEW PALTZ,STATE UNIVERSITY OF NEW YORK AT NEW PALTZ
312,SOUTH PIEDMONT COMMUNITY COLLEGE,
313,BLUE RIDGE COMMUNITY COLLEGE,
314,CRAVEN COMMUNITY COLLEGE,
315,FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE,FTCC
316,FORSYTH TECHNICAL COMMUNITY COLLEGE,FORSYTH TECH
317,UNIVERSITY OF WISCONSIN-PARKSIDE,
318,CARTHAGE COLLEGE,CARTHAGE
319,HOLY FAMILY COLLEGE,
320,MARQUETTE UNIVERSITY,
321,THEOLOGICAL SEMINARY OF THE REFORMED EPISCOPAL CHURCH,REFORMED EPISCOPAL SEMINARY
322,ABILENE CHRISTIAN UNIVERSITY,
323,UNIVERSITY OF HOUSTON-VICTORIA,
324,SAM HOUSTON STATE UNIVERSITY,SHSU
325,ST PHILIP'S COLLEGE,
326,LENOIR COMMUNITY COLLEGE,
327,MITCHELL COMMUNITY COLLEGE,
328,PITT COMMUNITY COLLEGE,
329,GANNON UNIVERSITY,
330,LAKE ERIE COLLEGE OF OSTEOPATHIC MEDICINE,LECOM
331,EDINBORO UNIVERSITY OF PENNSYLVANIA,EDINBORO
332,SOUTHWESTERN COMMUNITY COLLEGE,
333,BELMONT COLLEGE,BELMONT COLLEGE
334,CUYAHOGA COMMUNITY COLLEGE DISTRICT,
335,LAKELAND COMMUNITY COLLEGE,LAKELAND|LAKELAND COLLEGE|LCC
336,TRI-RIVERS CAREER CENTER,
337,UNIVERSITY OF OKLAHOMA-HEALTH SCIENCES CENTER,
338,YALE UNIVERSITY,
339,SCHOOLCRAFT COLLEGE,
340,ROWAN COLLEGE AT BURLINGTON COUNTY,RCBC
341,CAMDEN COUNTY COLLEGE,
342,ESSEX COUNTY COLLEGE,ESSEX
343,PACE UNIVERSITY,PACE UNIVERSITY
344,CAPE FEAR COMMUNITY COLLEGE,CFCC
345,CATAWBA VALLEY COMMUNITY COLLEGE,CVCC
346,WEST COAST UNIVERSITY-ONTARIO,
347,PAUL MITCHELL THE SCHOOL-CHICAGO,
348,DORSEY SCHOOL OF BUSINESS-WATERFORD PONTIAC,DORSEY SCHOOLS- WATERFORD PONTIAC
349,EUROPEAN MASSAGE THERAPY SCHOOL-LAS VEGAS,
350,THE ART INSTITUTE OF VIRGINIA BEACH,AIVA
351,OWENS COMMUNITY COLLEGE,OWENS STATE COMMUNITY COLLEGE
352,SINCLAIR COMMUNITY COLLEGE,
353,CONNORS STATE COLLEGE,CSC
354,ROGERS STATE UNIVERSITY,RSU|ROGERS UNIVERSITY|ROGERS STATE COLLEGE|CLAREMORE JUNIOR COLLEGE|CLAREMORE JR. COLLEGE|CJC|OKLAHOMA MILITARY ACADEMY|OMA|EASTERN UNIVERSITY PREPARATORY SCHOOL
355,TULSA COMMUNITY COLLEGE,
356,COMMUNITY COLLEGE OF RHODE ISLAND,CCRI
357,PATRICK HENRY COMMUNITY COLLEGE,PATRICK HENRY CC PHCC PH
358,TIDEWATER COMMUNITY COLLEGE,
359,UNIVERSITY OF ARIZONA,THE UNIVERSITY OF ARIZONA | UARIZONA | U OF A | UOFA | UA | UNIVERSITY OF AZ | UNIV. OF AZ | THE UNIV. OF AZ
360,ALLEGANY COLLEGE OF MARYLAND,
361,SITTING BULL COLLEGE,
362,PASSAIC COUNTY COMMUNITY COLLEGE,PCCC
363,GREAT BASIN COLLEGE,
364,CENTRAL OHIO TECHNICAL COLLEGE,COTC
365,STRAYER UNIVERSITY-GEORGIA,
366,STRAYER UNIVERSITY-MISSISSIPPI,
367,STRAYER UNIVERSITY-SOUTH CAROLINA,
368,STRAYER UNIVERSITY-TEXAS,
369,THE ART INSTITUTE OF SAN ANTONIO,
370,EMPIRE BEAUTY SCHOOL-PINEVILLE,
371,PAUL MITCHELL THE SCHOOL-MODESTO,
372,VICTORIA COLLEGE,
373,BLINN COLLEGE,
374,WHARTON COUNTY JUNIOR COLLEGE,
375,VIRGINIA COMMONWEALTH UNIVERSITY,VCU
376,MID-STATE TECHNICAL COLLEGE,MID-STATE MSTC
377,LARAMIE COUNTY COMMUNITY COLLEGE,LCCC|L TRIPLE C
378,UNIVERSITY OF SOUTH ALABAMA,
379,COSMO BEAUTY ACADEMY,CBA
380,PAUL MITCHELL THE SCHOOL-FRESNO,
381,GURNICK ACADEMY OF MEDICAL ARTS,
382,SOUTH UNIVERSITY-VIRGINIA BEACH,
383,AVEDA INSTITUTE-DENVER,AID
384,FRED K MARCHMAN TECHNICAL COLLEGE,
385,COMPASS COLLEGE OF CINEMATIC ARTS,
386,NOVA ACADEMY OF COSMETOLOGY,
387,PELOTON COLLEGE,LASDALLAS
388,PAUL MITCHELL THE SCHOOL-MILWAUKEE,
389,UNIVERSITY OF NORTHWESTERN OHIO,
390,THE SPA SCHOOL,
391,BALTIMORE CITY COMMUNITY COLLEGE,
392,BUENA VISTA UNIVERSITY,
393,WASHBURN UNIVERSITY,
394,SUMMIT SALON ACADEMY-LEXINGTON,
395,SALISBURY UNIVERSITY,SU|SALISBURY
396,UNITED STATES NAVAL ACADEMY,"USNA, NAVY, ANNAPOLIS"
397,AIR FORCE INSTITUTE OF TECHNOLOGY-GRADUATE SCHOOL OF ENGINEERING & MANAGEMENT,AFIT
398,HERZING UNIVERSITY-AKRON,
399,BLUFFTON UNIVERSITY,
400,CLACKAMAS COMMUNITY COLLEGE,
401,WEST GEORGIA TECHNICAL COLLEGE,
402,GATEWAY COMMUNITY AND TECHNICAL COLLEGE,NORTHERN KENTUCKY STATE VOCATIONAL TECHNICAL SCHOOL NORTHERN KENTUCKY TECH NORTHERN KENTUCKY TECHNICAL COLLEGE NORTHERN KENTUCKY HEALTH OCCUPATIONAL CENTER NORTHERN CAMPBELL TECH NORTHERN KENTUCKY HEALTH TECHNOLOGY CENTER
403,JOHNS HOPKINS UNIVERSITY,JOHNS HOPKINS
404,SAN JOAQUIN VALLEY COLLEGE-FRESNO,
405,UNIVERSAL TECHNICAL INSTITUTE OF ARIZONA INC,UNIVERSAL TECHNICAL INSTITUTE UTI-AZ UTI-AVONDALE
406,LAFAYETTE COLLEGE,
407,ACUPUNCTURE AND INTEGRATIVE MEDICINE COLLEGE-BERKELEY,AIMC BERKELEY
408,DIVERSIFIED VOCATIONAL COLLEGE,
409,MIDDLE TENNESSEE SCHOOL OF ANESTHESIA INC,MTSA
410,OKLAHOMA STATE UNIVERSITY-OKLAHOMA CITY,OSU-OKLAHOMA CITY|OSU-OKC
411,CARNEGIE MELLON UNIVERSITY,CARNEGIE MELLON; CMU
412,CHATHAM UNIVERSITY,CHATHAM
413,CHEYNEY UNIVERSITY OF PENNSYLVANIA,
414,ACADEMY OF ART UNIVERSITY,
